# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8323
#@/user_id	e7e57a2c-2e9c-446e-a89d-2d5cdff91181
a 	啊	c=28 d=1.67528 t=8271
shi xiao 	時效	c=1 d=1 t=39
shi yong 	使用	c=22 d=1.1142 t=7961
shi yong 	試用	c=0 d=0.1 t=5183
shi yong lv 	使用率	c=1 d=1 t=4122
shi yong xia 	試用下	c=1 d=1 t=5184
shi you 	是由	c=1 d=1 t=7169
shi zai 	实在	c=2 d=1 t=5978
shou dao 	受到	c=1 d=1 t=2221
shou dao 	收到	c=1 d=1 t=1225
shou dong 	手動	c=3 d=1.00001 t=4910
shou ji 	手機	c=1 d=1 t=3968
shou ji 	收集	c=1 d=1 t=3969
shou ji hao 	手機號	c=2 d=1.97531 t=2210
shou jian ren 	收件人	c=2 d=1.71534 t=2185
shou qu 	收取	c=1 d=1 t=1491
shou xian 	首先	c=1 d=1 t=5491
shu biao 	數表	c=1 d=1 t=3470
shu biao 	鼠標	c=1 d=1 t=3471
shu ju 	數據	c=89 d=3.74376 t=8000
shu ju ku 	數據庫	c=2 d=1.00482 t=1382
shu ju liu 	數據流	c=1 d=1 t=472
shu ru 	輸入	c=9 d=1 t=7999
shu ru fa 	輸入法	c=1 d=1 t=64
shu xing 	屬性	c=3 d=1.0005 t=6609
shu xu guan 	鼠鬚管	c=1 d=1 t=2536
shu yu 	屬於	c=1 d=1 t=3461
shu zi 	梳子	c=1 d=1 t=6611
shu zu 	數組	c=1 d=1 t=5762
shui jiao 	水膠	c=1 d=1 t=794
shui jiao 	睡覺	c=2 d=1.00003 t=2863
shun bian 	順便	c=1 d=1 t=2611
shun xu 	順序	c=3 d=1 t=7898
shuo 	說	c=14 d=1.14483 t=8256
shuo dong 	說動	c=1 d=1 t=1767
shuo hua 	說話	c=1 d=1 t=3612
shuo ming 	說明	c=1 d=1 t=268
shuo xia 	說下	c=2 d=1 t=5248
shuo zhen 	說真	c=1 d=1 t=4313
si da fen san 	四大分散	c=1 d=1.05827 t=108
si da fen san de 	四大分散的	c=5 d=3.88917 t=106
si da fen san de fa 	四大分散的法	c=1 d=1 t=102
si er hou zhi 	死而後止	c=1 d=1 t=6114
si hu 	似乎	c=4 d=1.01198 t=3265
si kao 	思考	c=1 d=1 t=427
si lu 	思路	c=2 d=1.04159 t=4356
su du 	速度	c=1 d=1.0045 t=7905
su wo 	俗我	c=0 d=0.1 t=6087
suan 	算	c=6 d=1.21767 t=7147
suan fa 	算法	c=1 d=1 t=1160
suan shi 	算是	c=2 d=1 t=5403
sui 	歲	c=2 d=1.97045 t=3891
sui bian 	隨便	c=1 d=1 t=7809
sui shi 	隨時	c=3 d=1 t=7118
suo jian 	縮減	c=1 d=1 t=6584
suo xie 	縮寫	c=1 d=1 t=7382
suo yi 	所以	c=11 d=1.37605 t=5914
suo yin 	索引	c=2 d=1.96079 t=2060
suo you 	所有	c=9 d=1.08066 t=7971
ta 	他	c=18 d=2.21014 t=7647
ta 	她	c=7 d=1.79487 t=6302
ta 	它	c=5 d=1.62279 t=5785
ta men 	他們	c=19 d=2.63888 t=8291
ta men ne 	他們呢	c=1 d=1 t=4838
ta shi 	他是	c=1 d=1 t=1642
ta yao 	他要	c=1 d=1 t=2874
tai 	太	c=3 d=1.00005 t=6225
tai 	臺	c=8 d=2.76755 t=6756
tai bi 	臺幣	c=2 d=1 t=8301
tai duo 	太多	c=3 d=1.82696 t=4542
tai guo fen 	太過分	c=1 d=1 t=17
tai ma fan 	太麻煩	c=1 d=1 t=6763
tai man 	太慢	c=1 d=1 t=6663
tai mang 	太忙	c=1 d=1 t=4827
tai nan 	太難	c=1 d=1 t=5803
tai xiao 	太小	c=1 d=1 t=4613
tai xing 	臺型	c=0 d=0.1 t=5520
tan 	彈	c=2 d=1.82283 t=7492
tao lu 	逃路	c=1 d=1 t=6932
tao lun 	討論	c=7 d=1.99068 t=6933
te bie 	特別	c=1 d=1 t=6792
ti 	提	c=3 d=1 t=3753
ti chu 	提出	c=1 d=1 t=663
ti dao 	提到	c=5 d=1 t=7551
ti gao 	提高	c=3 d=1 t=7366
ti ge 	提個	c=1 d=1 t=4021
ti gong 	提供	c=3 d=1 t=7994
ti huan 	提環	c=1 d=1 t=914
ti huan 	替換	c=1 d=1 t=915
ti jiao 	提交	c=4 d=1.00248 t=6044
ti qu 	提取	c=3 d=1.00069 t=7379
ti sheng 	提升	c=1 d=1 t=1531
ti tong 	体同	c=1 d=1 t=600
ti xian zai 	體現在	c=1 d=1 t=288
ti xing 	提醒	c=3 d=1.41291 t=3449
tian 	填	c=2 d=1.00122 t=8065
tian 	天	c=5 d=1 t=8066
tian an 	天安	c=1 d=1 t=5801
tian chong 	填充	c=2 d=1.63445 t=7182
tian jia 	添加	c=6 d=1.90937 t=8322
tian jia ai 	添加愛	c=1 d=1 t=2027
tian mao 	天貓	c=2 d=1.95123 t=7871
tian tian 	天天	c=2 d=1 t=2860
tiao 	條	c=6 d=1.06907 t=6554
tiao jian 	條件	c=6 d=1.09698 t=4310
tiao zheng 	調整	c=2 d=0.567666 t=5257
tiao zheng xia 	調整下	c=1 d=1 t=5258
tiao zhuan 	跳轉	c=2 d=1.08086 t=4723
ting 	停	c=2 d=1.94649 t=4447
ting 	聽	c=1 d=1 t=3608
ting diao 	停掉	c=3 d=1.97533 t=6842
ting guo 	聽過	c=1 d=1 t=5334
tong bu 	同步	c=3 d=1 t=7016
tong gan gong ku 	同甘共苦	c=1 d=1 t=2887
tong guo 	通過	c=2 d=1.98511 t=5044
tong ji 	統計	c=3 d=1.5979 t=2272
tong ji 	通几	c=1 d=1 t=2028
tong shi 	同事	c=1 d=1 t=7929
tong yi 	通義	c=1 d=1 t=6812
tong zhi wo 	通知我	c=1 d=1 t=2715
tou hun 	頭昏	c=1 d=1 t=849
tou piao 	投票	c=1 d=1 t=1168
tou ru 	投入	c=1 d=1 t=701
tou tou 	偷偷	c=1 d=1 t=3063
tu 	圖	c=4 d=1.00105 t=6913
tu shang 	土傷	c=2 d=1 t=5378
tui 	推	c=2 d=1.44933 t=1485
tui hui 	退會	c=2 d=1.97045 t=2207
tui jian 	推薦	c=1 d=1 t=4930
tui song 	推送	c=2 d=1.86936 t=1463
tuo zhan 	拓展	c=1 d=1 t=3660
wai wang 	外網	c=1 d=1 t=2462
wan 	玩	c=1 d=1 t=4701
wan cheng 	完成	c=16 d=1.98973 t=6503
wan dian 	晚點	c=2 d=1 t=4064
wan quan 	完全	c=4 d=1.00318 t=7749
wan shang 	晚上	c=11 d=1.0041 t=7297
wan shang wo men 	晚上我們	c=1 d=1 t=1770
wang 	往	c=1 d=1 t=7816
wang 	網	c=3 d=1.00001 t=7939
wang ji 	忘記	c=1 d=1 t=2373
wang luo 	網絡	c=4 d=1.73323 t=6189
wang zhi 	網址	c=1 d=1 t=6958
wei 	位	c=1 d=1 t=5742
wei 	尾	c=1 d=1 t=7953
wei 	爲	c=5 d=1.00002 t=7947
wei biao 	圍標	c=1 d=1 t=8230
wei du 	緯度	c=6 d=1 t=8231
wei hu 	維護	c=12 d=1.00471 t=8223
wei kong 	爲空	c=1 d=1 t=4051
wei lai 	未來	c=1 d=1 t=6596
wei le 	爲了	c=3 d=1 t=7365
wei sha 	爲啥	c=1 d=1 t=7726
wei shen me 	爲什麼	c=11 d=1.07584 t=8200
wei shen me wo men 	爲什麼我們	c=1 d=1 t=2925
wei shou dao 	未受到	c=1 d=1 t=110
wei xin 	唯心	c=1 d=1 t=5594
wei xin 	微信	c=1 d=1 t=5596
wei yi 	唯一	c=10 d=1.21501 t=7846
wen 	問	c=8 d=1.00409 t=6909
wen 	文	c=2 d=1.00002 t=2626
wen ben 	文本	c=2 d=1.00031 t=7378
wen dang 	文檔	c=6 d=1.97046 t=7549
wen ding 	穩定	c=5 d=0.10005 t=6639
wen jian 	文件	c=25 d=1.00002 t=8027
wen ti 	問題	c=90 d=4.25967 t=7794
wen ti 	文體	c=1 d=1 t=186
wen wo 	吻我	c=1 d=1 t=5786
wen xia 	問下	c=2 d=1 t=8290
wo 	我	c=245 d=9.12589 t=8287
wo bu zhi dao 	我不知道	c=1 d=1 t=5948
wo dou shi 	我都是	c=1 d=1 t=3874
wo fa xian 	我發現	c=1 d=1 t=6636
wo gan jue 	我感覺	c=2 d=1.61263 t=4674
wo hui 	我會	c=1 d=1 t=2121
wo jiu 	我就	c=1 d=1 t=7448
wo jiu shi 	我就是	c=1 d=1 t=4568
wo ju de 	我具德	c=2 d=1 t=7768
wo ju jue 	我拒絕	c=1 d=1 t=2190
wo jue de 	我覺得	c=6 d=1 t=8272
wo ka 	我卡	c=1 d=1 t=5369
wo kao 	我靠	c=1 d=1 t=8171
wo ke neng 	我可能	c=1 d=1 t=3349
wo me 	我麼	c=1 d=1 t=7748
wo mei you 	我沒有	c=1 d=1 t=4235
wo men 	我們	c=98 d=1.70116 t=8279
wo xian zai 	我現在	c=1 d=1 t=2523
wo xiang 	我相	c=1 d=1 t=5003
wo ye bu zhi dao 	我也不知道	c=1 d=1 t=7452
wo you 	我有	c=1 d=1 t=7114
wo zai 	我在	c=1 d=1 t=6094
wo zhi dao 	我知道	c=2 d=1 t=4420
wu cha 	誤差	c=1 d=1 t=1106
wu fa 	無法	c=2 d=1.89137 t=74
xi 	系	c=1 d=1 t=3372
xi tong 	系統	c=10 d=1.51519 t=7227
xi xi 	嘻嘻	c=1 d=1 t=4102
xia 	下	c=61 d=1.92117 t=8224
xia 	瞎	c=1 d=1 t=6816
xia ban 	下班	c=8 d=1.0465 t=6161
xia ci 	下次	c=1 d=1 t=3637
xia lai 	下來	c=1 d=1 t=214
xia mian 	下面	c=9 d=1.19896 t=7423
xia wu 	下午	c=5 d=1 t=8263
xia yi ge 	下一個	c=1 d=1 t=3034
xia yi tian 	下一天	c=1 d=1 t=2866
xia zai 	下載	c=5 d=1.00006 t=6285
xia zhou 	下週	c=1 d=1 t=8093
xian 	先	c=14 d=1.11523 t=8203
xian bang mang 	先幫忙	c=1 d=1 t=8107
xian chang 	現場	c=1 d=1 t=8057
xian ma 	先馬	c=0 d=0.1 t=5413
xian ma gu 	先馬股	c=1 d=1 t=5414
xian shi 	顯示	c=6 d=1 t=7659
xian zai 	現在	c=41 d=1.1276 t=8085
xian zhi 	限制	c=1 d=1 t=1879
xiang 	像	c=2 d=1 t=7969
xiang 	想	c=8 d=1.29969 t=6646
xiang 	相	c=2 d=1.00006 t=3004
xiang bu dao 	想不到	c=1 d=1 t=679
xiang dui 	相對	c=1 d=1 t=7948
xiang fa 	想法	c=1 d=1 t=11
xiang guan 	相關	c=8 d=1.23844 t=5406
xiang hao 	想好	c=2 d=1 t=6718
xiang jia 	相加	c=1 d=1 t=3256
xiang jia 	象甲	c=1 d=1 t=171
xiang mu 	項目	c=15 d=1.76817 t=6668
xiang tong 	相同	c=1 d=1 t=4267
xiang xin 	相信	c=1 d=1 t=3733
xiang zhi dao 	想知道	c=1 d=1 t=1637
xiao 	小	c=1 d=1 t=7404
xiao ban ben 	小版本	c=1 d=1 t=1974
xiao guo 	效果	c=4 d=1.00055 t=8189
xiao hao 	消耗	c=1 d=1 t=5462
xiao lv 	效率	c=1 d=1 t=1529
xiao shi 	小時	c=6 d=1.03202 t=7992
xiao xi 	消息	c=1 d=1 t=7071
xie 	寫	c=15 d=1.85463 t=8183
xie chu lai 	寫出來	c=1 d=1 t=1697
xie cuo 	寫錯	c=1 d=1 t=4251
xie ru 	寫入	c=3 d=1.11145 t=6258
xie shang 	寫上	c=1 d=1 t=5084
xie tiao 	協調	c=4 d=1 t=8100
xie xi 	歇息	c=1 d=1 t=7835
xie xie 	謝謝	c=4 d=1.00091 t=7836
xie yi ge 	寫一個	c=2 d=1 t=6077
xie zai 	卸載	c=2 d=1 t=7414
xie zai 	寫在	c=3 d=1.05592 t=1969
xie zhu 	協助	c=2 d=1 t=8051
xin 	心	c=0 d=0.1 t=6225
xin 	新	c=7 d=1.00005 t=8192
xin de 	新的	c=1 d=1 t=3142
xin ku 	辛苦	c=1 d=1 t=4872
xin ren 	信任	c=1 d=1 t=8278
xin xi 	信息	c=5 d=1.19681 t=7342
xin xi 	新息	c=1 d=1 t=1889
xing 	型	c=1 d=1 t=4371
xing 	性	c=1 d=1 t=3178
xing 	行	c=1 d=1 t=5875
xing neng 	性能	c=7 d=1.88699 t=5896
xiong di 	兄弟	c=2 d=1.05475 t=4316
xiu 	修	c=3 d=1 t=4394
xiu fu 	修復	c=5 d=1.00008 t=4410
xiu fu hao 	修復好	c=1 d=1 t=2713
xiu gai 	修改	c=9 d=1.00004 t=8323
xiu hao 	修好	c=1 d=1 t=7408
xiu jia 	休假	c=2 d=1 t=3881
xiu xian 	休閒	c=1 d=1 t=3897
xiu zheng 	修正	c=1 d=1 t=1032
xu 	需	c=0 d=0.1 t=238
xu a yo 	需啊唷	c=1 d=1 t=239
xu fei 	續費	c=1 d=1 t=2672
xu fei 	許飛	c=0 d=0.1 t=2670
xu fei le 	許飛了	c=1 d=1 t=2671
xu qiu 	需求	c=7 d=1.00011 t=3828
xu yao 	需要	c=44 d=1.07228 t=7828
xu yao ni 	需要你	c=1 d=1 t=768
xuan ze 	玄则	c=1 d=1 t=322
xuan zhong 	選中	c=2 d=1.34473 t=3685
xue xi 	学习	c=1 d=1 t=2243
xue xie 	血洩	c=1 d=1 t=2242
ya 	呀	c=0 d=0.1 t=3928
yan se 	顏色	c=1 d=1 t=1014
yan yuan 	演員	c=1 d=1 t=3086
yan zheng 	驗證	c=3 d=1.44833 t=1018
yang 	樣	c=3 d=1.00003 t=4737
yang zi 	樣子	c=2 d=1 t=5943
yao 	要	c=52 d=3.51979 t=8306
yao bu 	要不	c=2 d=1.92774 t=1547
yao bu yao 	要不要	c=1 d=1 t=1322
yao qing 	邀請	c=1 d=1 t=6475
yao qiu 	要求	c=3 d=1.92315 t=8071
yao qu 	要去	c=1 d=1 t=6927
yao wo 	要我	c=2 d=1 t=7499
yao yong 	要用	c=1 d=1 t=2880
ye 	也	c=10 d=1.01493 t=7778
ye 	頁	c=2 d=1.00124 t=2909
ye bu hui 	也不會	c=2 d=1.18177 t=7343
ye bu shi 	也不是	c=2 d=1.77492 t=6690
ye hui 	也會	c=1 d=1 t=2211
ye jiu shi 	也就是	c=1 d=1 t=7160
ye mei you 	也沒有	c=2 d=1 t=5732
ye mian 	頁面	c=4 d=1.00212 t=4850
ye shi 	也是	c=2 d=1.00001 t=4319
ye ting 	也挺	c=0 d=0.1 t=2882
ye ting hao 	也挺號	c=1 d=1 t=2883
ye wu 	業務	c=7 d=1 t=8006
ye xing 	夜行	c=1 d=1 t=1791
ye xu 	也許	c=1 d=1 t=1647
ye yao 	也要	c=2 d=1 t=6004
ye you 	业有	c=2 d=1.90937 t=6893
ye you 	也有	c=1 d=1 t=6894
yi 	以	c=1 d=1 t=5029
yi 	易	c=2 d=1 t=7940
yi ban 	一般	c=1 d=1 t=1091
yi ceng 	一層	c=1 d=1 t=4362
yi chang 	一場	c=1 d=1 t=297
yi chang 	異常	c=7 d=1.00215 t=1997
yi ci 	一次	c=2 d=1 t=7493
yi dao 	一道	c=1 d=1 t=8252
yi dian 	一點	c=4 d=1.00001 t=6411
yi din 	一𨈖	c=1 d=1 t=556
yi ding 	一定	c=3 d=1.00001 t=5147
yi dong 	移動	c=1 d=1 t=920
yi duan 	一段	c=1 d=1 t=5822
yi dun 	一頓	c=1 d=1 t=7937
yi fen 	一份	c=1 d=1 t=5815
yi feng 	一封	c=2 d=1.0019 t=5514
yi fu 	衣服	c=1 d=1 t=4765
yi ge 	一個	c=69 d=2.53214 t=8222
yi ge ren 	一個人	c=1 d=1 t=2731
yi gong 	一共	c=1 d=1 t=6555
yi hou 	以後	c=4 d=1.00003 t=4898
yi jian 	一件	c=1 d=0.279066 t=5110
yi jian shi 	一件事	c=1 d=1 t=7149
yi jing 	已經	c=33 d=2.06411 t=8127
yi jing you 	已經有	c=1 d=1 t=4987
yi lie 	一列	c=1 d=1 t=5082
yi liu 	遺留	c=1 d=1 t=3318
yi nei 	以內	c=1 d=1 t=1025
yi qi 	一起	c=15 d=1.18273 t=7958
yi qi qu 	一起去	c=1 d=1 t=2721
yi qian 	以前	c=1 d=1 t=7009
yi shang 	以上	c=1 d=1 t=6460
yi shun jian 	一瞬間	c=3 d=1.12551 t=4691
yi si 	意思	c=7 d=1.72979 t=7560
yi tai 	一臺	c=3 d=1.31295 t=6758
yi tao 	一套	c=2 d=1.46301 t=4921
yi tian 	一天	c=10 d=1.00112 t=8119
yi tiao 	一條	c=1 d=1 t=5838
yi wen 	疑問	c=2 d=1.00001 t=2924
yi xia 	一下	c=23 d=2.11895 t=6919
yi xiao an 	已消黯	c=1 d=1 t=2389
yi xie 	一些	c=14 d=1.90447 t=7110
yi xing ai 	異型癌	c=1 d=1 t=3944
yi yang 	一樣	c=4 d=1.02706 t=4165
yi ye 	一頁	c=1 d=1 t=2987
yi zhang 	一張	c=4 d=1.09378 t=7000
yi zhang 	以杖	c=1 d=1 t=620
yi zhang biao 	一張表	c=2 d=1.54335 t=6481
yi zhi 	一直	c=5 d=1 t=7445
yi zhi 	一致	c=12 d=1.00019 t=7444
yin wei 	因爲	c=12 d=1.00405 t=7662
ying 	應	c=1 d=1 t=8053
ying ai 	螢愛	c=1 d=1 t=513
ying ga 	應噶	c=1 d=1 t=2836
ying gai 	應該	c=35 d=3.51517 t=7913
ying gai kong 	應該空	c=1 d=1 t=2869
ying pan 	硬盤	c=14 d=1.08296 t=5464
ying wei 	應爲	c=1 d=1 t=4197
ying wen 	英文	c=5 d=0.255227 t=1564
ying wen ne 	英文呢	c=2 d=1 t=7388
ying xiang 	影響	c=9 d=1.51685 t=7231
ying xiao 	營銷	c=1 d=1 t=5848
yong 	用	c=38 d=1.76835 t=8229
yong dao 	永道	c=2 d=1 t=4716
yong dao 	用到	c=3 d=2.32419 t=7352
yong fa 	用法	c=1 d=1 t=1523
yong guo 	用過	c=1 d=1 t=8184
yong hu 	用戶	c=1 d=1 t=1280
yong lai 	用來	c=4 d=1.00011 t=6943
yong ta 	用它	c=1 d=1 t=6698
yong yu 	用於	c=3 d=1.00001 t=5497
you 	又	c=1 d=1 t=7240
you 	有	c=79 d=2.01987 t=8313
you 	由	c=9 d=1.17027 t=7086
you dian 	有點	c=4 d=1.79453 t=7548
you ge 	有個	c=1 d=1 t=8
you hua 	優化	c=6 d=1.00838 t=5752
you jian 	有见	c=1 d=1 t=115
you jian 	郵件	c=17 d=1.007 t=8128
you jian de 	郵件的	c=1 d=1 t=2104
you ke neng 	有可能	c=1 d=1 t=4191
you mei you 	有沒有	c=8 d=1.11793 t=7012
you ren 	有人	c=2 d=1 t=6786
you shi hou 	有時候	c=2 d=1.99005 t=1991
you shi jian 	有時間	c=9 d=1.46786 t=7127
you shu ju 	有數據	c=1 d=1 t=1243
you wen ti 	有問題	c=6 d=1.70942 t=7721
you xiang 	郵箱	c=3 d=1.88692 t=6496
you xiao 	有效	c=2 d=1.98511 t=5206
you xie 	有些	c=2 d=1 t=8157
you xu qiu 	有需求	c=1 d=1 t=389
you yu 	由於	c=7 d=1 t=8069
yu 	於	c=3 d=1.04084 t=7701
yu 	與	c=1 d=1 t=2996
yu ce 	預測	c=3 d=1.00076 t=2501
yu ji 	預計	c=2 d=1.09442 t=1828
yu jing 	預警	c=4 d=3.02655 t=2124
yu ju 	語句	c=1 d=1 t=2063
yu xian 	預先	c=1 d=1 t=3568
yu xing 	於行	c=1 d=1 t=2126
yuan 	元	c=2 d=1.00061 t=8302
yuan biao 	源表	c=2 d=1 t=7354
yuan cheng 	缘成	c=3 d=1.00089 t=5584
yuan cheng 	遠程	c=3 d=1.00001 t=8024
yuan lai 	原來	c=3 d=1 t=6091
yuan li 	原理	c=1 d=1 t=6983
yuan ma 	源碼	c=2 d=1.48675 t=8159
yuan shi 	原始	c=1 d=1 t=2906
yuan su 	元素	c=1 d=1 t=7954
yuan yin 	原因	c=4 d=1.5975 t=7686
yuan yuan 	遠遠	c=1 d=1 t=2804
yuan zu 	元組	c=1 d=1 t=1913
yue 	月	c=11 d=1 t=7610
yue 	約	c=2 d=1.00018 t=8254
yue deng yu 	約等於	c=1 d=1 t=910
yue wei 	約爲	c=1 d=1 t=165
yun 	雲	c=2 d=1.00003 t=7941
yun wei 	雲䲁	c=1 d=1 t=5849
yun xing 	運行	c=10 d=1.00946 t=7469
za 	咋	c=1 d=1 t=833
za ban 	咋辦	c=1 d=1 t=4544
za shuo 	雜說	c=0 d=0.1 t=5815
zai 	再	c=1 d=1 t=2294
zai 	在	c=81 d=4.31117 t=8218
zai bu 	再不	c=5 d=1.00734 t=6209
zai bu zai 	在不在	c=1 d=1 t=1152
zai shuo 	再說	c=2 d=1.00001 t=4826
zai xian 	在線	c=1 d=1 t=6778
zai ye 	再也	c=1 d=1 t=7476
zai yi ci 	再一次	c=1 d=1 t=5005
zan shi 	暫時	c=3 d=1.00055 t=6417
zang 	髒	c=0 d=0.1 t=979
zang shu ju 	髒數據	c=1 d=1 t=980
zao cheng 	造成	c=1 d=1 t=4154
zao dian 	早點	c=3 d=1.1054 t=7282
zao shang 	早上	c=2 d=1 t=6973
ze 	則	c=3 d=1.01604 t=2026
zen me 	怎麼	c=35 d=2.21932 t=8292
zeng 	曾	c=1 d=1 t=1552
zeng jia 	增加	c=15 d=1.7439 t=8035
zeng liang 	增量	c=1 d=1 t=7859
zhan 	佔	c=3 d=2.25002 t=271
zhan bi 	佔比	c=8 d=1.52481 t=4181
zhan tie 	粘貼	c=1 d=1 t=5517
zhan xian 	展現	c=2 d=1.98511 t=3101
zhang 	張	c=1 d=1 t=6864
zhang 	長	c=1 d=1 t=3889
zhang hao 	帳號	c=7 d=1.00021 t=8034
zhang hao 	張皓	c=1 d=1 t=1787
zhang hu 	賬戶	c=7 d=1 t=8023
zhao 	找	c=12 d=2.0922 t=8221
zhao bu dao 	找不到	c=4 d=1 t=6030
zhao chu 	找出	c=1 d=1 t=2301
zhao dao 	找到	c=2 d=1.01641 t=7787
zhao ge 	找個	c=3 d=1.99006 t=7813
zhao ni 	找你	c=1 d=1 t=6188
zhao wo 	找我	c=1 d=1 t=5245
zhe 	着	c=1 d=1 t=4696
zhe 	這	c=15 d=1.28921 t=8109
zhe bian 	這邊	c=15 d=1.97694 t=8154
zhe bu fen 	這部分	c=4 d=1 t=7097
zhe bu shi 	這不是	c=4 d=1.00001 t=8190
zhe ci 	這次	c=4 d=1.00024 t=3291
zhe dian 	這點	c=1 d=1 t=7161
zhe duan 	這段	c=1 d=1 t=2019
zhe fang mian 	這方面	c=1 d=1 t=4682
zhe ge 	這個	c=123 d=6.27317 t=7917
zhe ge tu 	這個圖	c=1 d=1 t=4673
zhe li 	這裏	c=1 d=1 t=7550
zhe liang ge 	這兩個	c=1 d=1 t=6145
zhe liang tian 	這兩天	c=1 d=1 t=1849
zhe me 	這麼	c=4 d=1.15666 t=6804
zhe shi 	這是	c=4 d=1 t=7585
zhe shi ge 	這是個	c=1 d=1 t=5670
zhe tai 	這臺	c=1 d=1 t=6405
zhe wan yi 	這玩意	c=1 d=1 t=7489
zhe xie 	這些	c=6 d=1.00117 t=5272
zhe yang 	這樣	c=7 d=1.00223 t=7944
zhe zen me 	這怎麼	c=1 d=1 t=6803
zhe zhang 	這張	c=3 d=1.03035 t=7062
zhe zhang biao 	這張表	c=9 d=1.00021 t=7854
zhe zhong 	這種	c=6 d=1.04575 t=4772
zhe zhou 	這週	c=3 d=1.93707 t=8104
zhe zhou mo 	這週末	c=1 d=1 t=8089
zhen de 	真的	c=2 d=1.00001 t=8186
zhen ma fan 	真麻煩	c=1 d=1 t=1796
zheng 	整	c=1 d=1 t=8169
zheng 	正	c=0 d=0.1 t=6485
zheng bu zheng chang 	正不正常	c=1 d=1 t=6486
zheng chang 	正常	c=10 d=1.93243 t=7888
zheng gai 	整改	c=2 d=1.73345 t=8123
zheng li 	整理	c=3 d=1 t=7970
zheng li 	正立	c=1 d=1 t=398
zheng que 	正確	c=3 d=1.10127 t=5495
zheng que shi bie 	正確識別	c=1 d=1 t=1466
zheng shi 	正式	c=5 d=2.2994 t=786
zheng shu 	證書	c=2 d=1.92312 t=5421
zheng zai 	正在	c=3 d=1.96079 t=7987
zheng ze 	正則	c=2 d=1.99501 t=5673
zhi 	值	c=11 d=1.44623 t=7698
zhi 	只	c=1 d=1 t=2213
zhi 	指	c=4 d=1.98511 t=5856
zhi 	直	c=1 d=1 t=5711
zhi 	至	c=1 d=1 t=1834
zhi bo 	直播	c=1 d=1 t=8174
zhi chu 	指出	c=1 d=1 t=7119
zhi dao 	知道	c=5 d=1.06492 t=8242
zhi ding 	制定	c=1 d=1 t=126
zhi ding 	指定	c=1 d=1 t=128
zhi du 	只讀	c=1 d=1 t=1885
zhi hou 	之後	c=6 d=1.00208 t=7474
zhi jian 	之間	c=1 d=1 t=3042
zhi jie 	直接	c=21 d=1.00009 t=8021
zhi jie ei 	直接誒	c=1 d=1 t=3366
zhi ling 	指令	c=1 d=1 t=6093
zhi nei 	之內	c=1 d=1 t=8081
zhi neng 	只能	c=4 d=1 t=8211
zhi qian 	之前	c=5 d=1.26054 t=8181
zhi shao 	至少	c=1 d=1 t=7289
zhi shi 	只是	c=6 d=1 t=7866
zhi shui 	只睡	c=1 d=1 t=799
zhi suan 	只算	c=1 d=1 t=3096
zhi wai 	之外	c=1 d=1 t=5109
zhi wen 	指紋	c=2 d=1 t=6129
zhi xing 	執行	c=4 d=1 t=8025
zhi xu yao 	只需要	c=1 d=1 t=2772
zhi yao 	只要	c=1 d=1 t=7562
zhi you 	只有	c=10 d=1 t=8217
zhi zhong 	制中	c=1 d=1 t=1995
zhong 	中	c=50 d=1.04163 t=8311
zhong dian 	中點	c=1 d=1 t=5022
zhong dian 	重點	c=1 d=1 t=5023
zhong duan 	終端	c=1 d=1 t=8297
zhong jian 	中檢	c=1 d=1 t=2633
zhong jian 	中間	c=2 d=1 t=7985
zhong shi 	重視	c=1 d=1 t=3167
zhong wen 	中文	c=3 d=2.83932 t=90
zhong wu 	中午	c=2 d=1 t=4097
zhong wu 	中鎢	c=1 d=1 t=843
zhong yao 	重要	c=4 d=1.03707 t=5772
zhong yu 	終於	c=4 d=1.69769 t=7407
zhou 	周	c=6 d=1.16041 t=6925
zhou mo 	週末	c=1 d=1.0956 t=8097
zhou qi 	週期	c=1 d=1 t=2814
zhu 	主	c=1 d=1 t=7975
zhu 	珠	c=2 d=1.03143 t=2245
zhu jian 	主鍵	c=2 d=1.76338 t=2763
zhu shi 	註釋	c=4 d=2.9458 t=6732
zhu shu ju 	主數據	c=1 d=1 t=3489
zhu ti 	主題	c=1 d=1 t=5292
zhu yao 	主要	c=7 d=1.00023 t=7188
zhu yao shi 	主要是	c=1 d=1 t=5927
zhu yi 	注意	c=1 d=1 t=1558
zhu zhang 	主張	c=0 d=0.1 t=6337
zhu zhang hao 	主張好	c=1 d=1 t=6338
zhua 	抓	c=1 d=1 t=6443
zhua jin 	抓緊	c=2 d=1.00001 t=5592
zhuan cheng 	轉成	c=5 d=1 t=8310
zhuan dao 	转道	c=1 d=1 t=67
zhuan huan 	轉環	c=3 d=2.98506 t=6602
zhuan jia 	專家	c=1 d=1 t=5850
zhuan zhuan 	轉轉	c=1 d=1 t=1543
zhuang tai 	狀態	c=5 d=1 t=7653
zhui zong 	追蹤	c=2 d=1 t=8112
zhun bei 	準備	c=2 d=1.0018 t=7830
zhun que 	準確	c=2 d=1 t=7367
zi 	子	c=2 d=1.02775 t=7054
zi 	自	c=2 d=1.38868 t=7060
zi a yong 	子阿勇	c=1 d=1 t=6632
zi cong 	自從	c=1 d=1 t=2857
